game	period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
2014-04-12_seaRM-at-sfoDF	4	36	seaRM	49	95	6	seaRM	seaRM	29	TD	2	FALSE	FALSE	NA	d_line	TD	off -
2014-04-12_seaRM-at-sfoDF	4	36	seaRM	51	96	7	sfoDF	sfoDF	13	G	2	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-12_seaRM-at-sfoDF	4	37	sfoDF	2	97	1	seaRM	seaRM	3	TA	2	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_seaRM-at-sfoDF	4	37	sfoDF	4	98	2	sfoDF	sfoDF	10	TD	2	FALSE	FALSE	NA	d_line	TD	off -
2014-04-12_seaRM-at-sfoDF	4	37	sfoDF	13	99	3	seaRM	sfoDF	85	D	9	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_seaRM-at-sfoDF	4	37	sfoDF	17	100	4	sfoDF	sfoDF	12	G	4	FALSE	TRUE	sfoDF	d_line	G	G
2014-04-12_seaRM-at-sfoDF	4	38	sfoDF	6	101	1	seaRM	sfoDF	2	D	6	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_seaRM-at-sfoDF	4	38	sfoDF	29	102	2	sfoDF	sfoDF	34	TD	23	FALSE	FALSE	NA	d_line	TD	off -
2014-04-12_seaRM-at-sfoDF	4	38	sfoDF	31	103	3	seaRM	seaRM	13	eop	2	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	1	1	vanNH	7	1	1	pdxST	vanNH	81	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	1	1	vanNH	13	2	2	vanNH	vanNH	81	LG	6	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	2	vanNH	8	3	1	pdxST	pdxST	6	G	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	3	pdxST	5	4	1	vanNH	vanNH	98	G	5	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	4	vanNH	8	5	1	pdxST	pdxST	16	TD	8	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	4	vanNH	14	6	2	vanNH	vanNH	13	G	6	FALSE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	5	vanNH	11	7	1	pdxST	pdxST	7	G	11	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	6	pdxST	13	8	1	vanNH	vanNH	89	VTT	13	FALSE	FALSE	NA	o_line	VTT	off -
2014-04-12_vanNH-at-pdxST	1	6	pdxST	17	9	2	pdxST	pdxST	3	LG	4	TRUE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	7	pdxST	9	10	1	vanNH	vanNH	98	G	9	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	8	vanNH	14	11	1	pdxST	pdxST	42	G	14	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	9	pdxST	7	12	1	vanNH	vanNH	21	G	7	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	10	vanNH	8	13	1	pdxST	pdxST	13	G	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	11	pdxST	11	14	1	vanNH	vanNH	22	G	11	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	12	vanNH	8	15	1	pdxST	pdxST	42	G	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	13	pdxST	7	16	1	vanNH	pdxST	21	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	1	13	pdxST	8	17	2	pdxST	pdxST	88	TA	1	FALSE	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	18	3	vanNH	vanNH	10	TD	8	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	13	pdxST	24	19	4	pdxST	vanNH	91	D	8	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	1	13	pdxST	26	20	5	vanNH	vanNH	33	G	2	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	14	vanNH	4	21	1	pdxST	pdxST	24	TD	4	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	14	vanNH	6	22	2	vanNH	vanNH	18	VTT	2	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-12_vanNH-at-pdxST	1	14	vanNH	8	23	3	pdxST	pdxST	13	LG	2	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	15	pdxST	4	24	1	vanNH	vanNH	22	off F	4	FALSE	FALSE	NA	o_line	off F	off -
2014-04-12_vanNH-at-pdxST	1	15	pdxST	7	25	2	pdxST	pdxST	6	G	3	TRUE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	16	pdxST	7	26	1	vanNH	vanNH	72	TD	7	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	16	pdxST	14	27	2	pdxST	pdxST	4	G	7	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	17	pdxST	3	28	1	vanNH	vanNH	8	eop	3	TRUE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	2	18	pdxST	7	29	1	vanNH	vanNH	98	LG	7	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	19	vanNH	8	30	1	pdxST	pdxST	2	TD	8	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	2	19	vanNH	17	31	2	vanNH	vanNH	18	G	9	FALSE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	20	vanNH	13	32	1	pdxST	pdxST	2	TA	13	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	2	20	vanNH	18	33	2	vanNH	vanNH	21	LG	5	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	21	vanNH	15	34	1	pdxST	pdxST	16	LG	15	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	22	pdxST	10	35	1	vanNH	pdxST	21	D	10	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	13	36	2	pdxST	vanNH	89	D	3	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	20	37	3	vanNH	pdxST	8	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	30	38	4	pdxST	vanNH	31	D	10	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	39	5	vanNH	vanNH	31	G	6	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	23	vanNH	17	40	1	pdxST	vanNH	81	D	17	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	23	vanNH	34	41	2	vanNH	vanNH	98	G	17	FALSE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	24	vanNH	17	42	1	pdxST	pdxST	13	G	17	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	25	pdxST	9	43	1	vanNH	vanNH	10	G	9	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	26	vanNH	10	44	1	pdxST	pdxST	13	G	10	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	27	pdxST	6	45	1	vanNH	pdxST	22	eop	6	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	3	28	vanNH	9	46	1	pdxST	pdxST	13	LG	9	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	29	pdxST	5	47	1	vanNH	vanNH	22	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	7	48	2	pdxST	vanNH	22	D	2	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	29	pdxST	9	49	3	vanNH	vanNH	21	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	19	50	4	pdxST	pdxST	3	G	10	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	30	pdxST	4	51	1	vanNH	vanNH	5	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	8	52	2	pdxST	vanNH	8	D	4	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	30	pdxST	12	53	3	vanNH	vanNH	22	TD	4	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	18	54	4	pdxST	pdxST	13	G	6	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	31	pdxST	5	55	1	vanNH	vanNH	89	TA	5	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	31	pdxST	34	56	2	pdxST	pdxST	7	G	29	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	32	pdxST	8	57	1	vanNH	pdxST	3	D	8	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	3	32	pdxST	10	58	2	pdxST	pdxST	16	TA	2	FALSE	FALSE	NA	d_line	TA	off -
