point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	vanNH
1	1	10:00:00	8:46:00	seaRM	1	vanNH	hold	0	1
2	1	8:46:00	6:13:00	vanNH	6	vanNH	break	0	2
3	1	6:13:00	5:56:00	vanNH	1	seaRM	hold	1	2
4	1	5:56:00	5:15:00	seaRM	2	seaRM	break	2	2
5	1	5:15:00	3:33:00	seaRM	3	vanNH	hold	2	3
6	1	3:33:00	2:23:00	vanNH	3	seaRM	hold	3	3
7	1	2:23:00	1:47:00	seaRM	1	vanNH	hold	3	4
8	1	1:47:00	1:27:00	vanNH	1	seaRM	hold	4	4
9	1	1:27:00	0:47:00	seaRM	1	vanNH	hold	4	5
10	1	0:47:00	0:31:00	vanNH	1	seaRM	hold	5	5
11	1	0:31:00	0:03:00	seaRM	1	vanNH	hold	5	6
12	1	0:03:00	0:00:00	vanNH	NA	NA	NA	5	6
13	2	10:00:00	9:07:00	vanNH	1	seaRM	hold	6	6
14	2	9:07:00	8:51:00	seaRM	1	vanNH	hold	6	7
15	2	8:51:00	8:38:00	vanNH	2	vanNH	break	6	8
16	2	8:38:00	7:48:00	vanNH	2	vanNH	break	6	9
17	2	7:48:00	6:56:00	vanNH	1	seaRM	hold	7	9
18	2	6:56:00	6:42:00	seaRM	1	vanNH	hold	7	10
19	2	6:42:00	5:14:00	vanNH	3	seaRM	hold	8	10
20	2	5:14:00	4:12:00	seaRM	3	vanNH	hold	8	11
21	2	4:12:00	3:58:00	vanNH	1	seaRM	hold	9	11
22	2	3:58:00	3:34:00	seaRM	1	vanNH	hold	9	12
23	2	3:34:00	2:33:00	vanNH	1	seaRM	hold	10	12
24	2	2:33:00	0:32:00	seaRM	3	vanNH	hold	10	13
25	2	0:32:00	0:00:00	vanNH	NA	NA	NA	10	13
26	3	10:00:00	8:57:00	seaRM	2	seaRM	break	11	13
27	3	8:57:00	8:43:00	seaRM	1	vanNH	hold	11	14
28	3	8:43:00	7:38:00	vanNH	1	seaRM	hold	12	14
29	3	7:38:00	7:17:00	seaRM	1	vanNH	hold	12	15
30	3	7:17:00	6:54:00	vanNH	1	seaRM	hold	13	15
31	3	6:54:00	5:31:00	seaRM	3	vanNH	hold	13	16
32	3	5:31:00	5:22:00	vanNH	1	seaRM	hold	14	16
33	3	5:22:00	4:44:00	seaRM	1	vanNH	hold	14	17
34	3	4:44:00	4:20:00	vanNH	1	seaRM	hold	15	17
35	3	4:20:00	4:04:00	seaRM	1	vanNH	hold	15	18
36	3	4:04:00	3:32:00	vanNH	2	vanNH	break	15	19
37	3	3:32:00	2:41:00	vanNH	2	vanNH	break	15	20
38	3	2:41:00	2:06:00	vanNH	2	vanNH	break	15	21
39	3	2:06:00	0:00:00	vanNH	6	vanNH	break	15	22
40	4	10:00:00	9:17:00	vanNH	1	seaRM	hold	16	22
41	4	9:17:00	7:54:00	seaRM	2	seaRM	break	17	22
42	4	7:54:00	7:16:00	seaRM	1	vanNH	hold	17	23
43	4	7:16:00	6:06:00	vanNH	3	seaRM	hold	18	23
44	4	6:06:00	5:46:00	seaRM	1	vanNH	hold	18	24
45	4	5:46:00	5:29:00	vanNH	1	seaRM	hold	19	24
46	4	5:29:00	5:26:00	seaRM	1	vanNH	hold	19	25
47	4	5:26:00	4:33:00	vanNH	2	vanNH	break	19	26
48	4	4:33:00	3:48:00	vanNH	1	seaRM	hold	20	26
49	4	3:48:00	3:37:00	seaRM	1	vanNH	hold	20	27
50	4	3:37:00	3:26:00	vanNH	1	seaRM	hold	21	27
51	4	3:26:00	2:50:00	seaRM	1	vanNH	hold	21	28
52	4	2:50:00	1:08:00	vanNH	5	seaRM	hold	22	28
53	4	1:08:00	0:39:00	seaRM	1	vanNH	hold	22	29
54	4	0:39:00	0:23:00	vanNH	1	seaRM	hold	23	29
55	4	0:23:00	0:00:00	seaRM	NA	NA	NA	23	29
